date,stock_id,stock_name,trade_volume,trade_value,open_price,high_price,low_price,close_price,price_change,transaction_count
2026-01-26,6431,光麗-KY,375516,10752810,28.6,29.3,28.1,28.1,-0.4,180
2026-01-26,6438,迅得,2298195,358328694,151.0,159.5,147.0,159.0,9.5,2496
2026-01-26,6442,光聖,3290708,4373714040,1365.0,1375.0,1295.0,1300.0,-55.0,7482
2026-01-26,6443,元晶,115671216,4793681122,40.3,42.7,40.2,41.35,2.25,55591
2026-01-26,6446,藥華藥,7284832,4687888643,613.0,660.0,612.0,660.0,60.0,12143
2026-01-26,6449,鈺邦,807789,147126492,184.5,186.5,180.0,181.0,-4.0,1368
2026-01-26,6451,訊芯-KY,517817,76339226,148.0,150.0,146.5,146.5,-1.5,718
2026-01-26,6456,GIS-KY,1003098,42533661,42.65,42.7,42.2,42.55,0.25,726
2026-01-26,6464,台數科,6857,523359,76.7,76.7,76.1,76.1,-0.7,14
2026-01-26,6472,保瑞,2454817,1347507668,541.0,563.0,536.0,542.0,5.0,4817
2026-01-26,6477,安集,1112278,40179414,35.5,36.7,35.4,36.05,0.65,795
2026-01-26,6491,晶碩,130386,37337498,286.0,288.0,283.0,287.5,1.0,634
2026-01-26,6504,南六,50507,2057561,40.55,41.1,40.55,40.55,-0.05,48
2026-01-26,6505,台塑化,20043668,1016078676,47.9,52.2,47.9,52.2,4.7,10726
2026-01-26,6515,穎崴,351437,1398164915,3960.0,4095.0,3895.0,4065.0,160.0,1632
2026-01-26,6525,捷敏-KY,182143,14506106,80.1,80.1,79.2,79.5,-0.6,239
2026-01-26,6526,達發,1953745,942165069,469.5,500.0,462.0,482.0,11.5,3433
2026-01-26,6531,愛普*,5333873,2421735565,463.0,469.0,445.0,450.0,-16.5,8512
2026-01-26,6533,晶心科,265916,65157424,245.5,246.5,243.0,245.5,2.0,696
2026-01-26,6534,正瀚-創,31162,2685199,86.4,86.7,86.0,86.0,-0.4,32
2026-01-26,6541,泰福-KY,609539,32182701,52.0,53.4,52.0,52.8,1.3,520
2026-01-26,6550,北極星藥業-KY,978090,30358154,30.95,31.6,30.7,31.1,-0.4,559
2026-01-26,6552,易華電,133832,3559536,26.2,27.05,25.8,27.0,0.35,85
2026-01-26,6558,興能高,1831843,70527503,37.7,39.1,37.45,38.75,0.8,1400
2026-01-26,6573,虹揚-KY,538187,8718733,16.45,16.5,15.8,16.3,-0.2,322
2026-01-26,6579,研揚,54486,6103661,111.5,113.5,111.5,112.5,0.5,86
2026-01-26,6581,鋼聯,12068,1287236,106.0,107.0,106.0,106.0,0.0,41
2026-01-26,6582,申豐,79026,2519475,31.5,32.35,31.45,31.95,0.45,139
2026-01-26,6585,鼎基,74081,6943645,93.5,95.0,92.4,94.0,0.5,158
2026-01-26,6589,台康生技,480069,31111697,65.0,65.8,64.1,64.3,-0.4,834
2026-01-26,6591,動力-KY,219004,15608117,71.5,72.4,71.0,71.1,-0.1,317
2026-01-26,6592,和潤企業,3496893,215679968,61.4,62.6,60.7,62.4,0.9,998
2026-01-26,6592A,和潤企業甲特,11124,1084559,97.3,97.7,97.3,97.7,0.4,20
2026-01-26,6592B,和潤企業乙特,12116,1186509,97.9,98.0,97.8,98.0,0.5,15
2026-01-26,6598,ABC-KY,64784,1545109,23.6,24.0,23.6,23.95,0.35,130
2026-01-26,6605,帝寶,596396,94866058,160.0,161.5,157.0,161.5,1.5,850
2026-01-26,6606,建德工業,131612,3534029,28.0,28.0,26.45,26.45,-0.1,104
2026-01-26,6614,資拓宏宇,117983,5674321,47.8,48.85,47.75,48.5,0.5,92
2026-01-26,6625,必應,94886,8309401,88.1,88.1,87.2,87.5,-0.4,347
2026-01-26,6641,基士德-KY,78009,1814185,23.45,23.6,23.15,23.15,-0.45,73
2026-01-26,6645,金萬林-創,24429,434945,17.95,17.95,17.65,17.9,0.1,29
2026-01-26,6655,科定,14075,1702009,119.5,121.5,119.5,120.5,-0.5,26
2026-01-26,6657,華安,1269431,67459459,53.0,53.3,51.2,53.3,4.8,590
2026-01-26,6658,聯策,270807,15507243,57.7,58.3,56.8,57.0,0.6,219
2026-01-26,6666,羅麗芬-KY,14032,619024,43.95,44.55,43.5,44.15,0.2,15
2026-01-26,6668,中揚光,392453,15471257,38.9,39.75,38.9,39.6,0.85,349
2026-01-26,6669,緯穎,1870675,7138896700,3745.0,3875.0,3740.0,3840.0,145.0,10452
2026-01-26,6670,復盛應用,159549,43562514,277.5,278.0,271.5,273.0,-4.0,1429
2026-01-26,6671,三能-KY,7000,262700,37.35,37.95,37.2,37.2,-0.05,7
2026-01-26,6672,騰輝電子-KY,3874353,396787386,101.0,104.5,100.5,100.5,1.0,3780
2026-01-26,6674,鋐寶科技,24036,502292,21.3,21.3,20.75,20.95,-0.1,27
2026-01-26,6689,伊雲谷,480846,30240424,62.5,63.6,62.3,62.9,1.2,804
2026-01-26,6691,洋基工程,689601,413717905,603.0,612.0,595.0,600.0,-3.0,1122
2026-01-26,6695,芯鼎,564838,25416687,45.0,45.55,44.55,45.3,0.65,614
2026-01-26,6698,旭暉應材,291181,10531860,36.25,36.45,35.9,36.1,-0.45,356
2026-01-26,6706,惠特,1695588,189109005,112.5,114.0,110.5,111.5,-2.0,1756
2026-01-26,6715,嘉基,238278,27276971,117.5,118.5,112.0,112.5,-2.0,1536
2026-01-26,6719,力智,746216,149327093,196.0,203.0,195.5,200.0,4.5,1063
2026-01-26,6722,輝創,335724,14142739,43.0,43.0,41.7,41.85,-0.85,469
